year,month,vote_average,comedy
1953,3,5.8999999999999995,0.3333333333333333
1953,4,5.366666666666666,0.16666666666666666
1953,5,6.415789473684211,0.2631578947368421
1953,6,5.823529411764706,0.23529411764705882
1953,7,5.983333333333333,0.3333333333333333
1953,8,5.433333333333334,0.3888888888888889
1953,9,5.713333333333333,0.26666666666666666
1953,10,5.171428571428571,0.14285714285714285
1953,11,5.757142857142857,0.14285714285714285
1953,12,6.015789473684211,0.21052631578947367
1954,1,5.634782608695652,0.391304347826087
1954,2,5.0,0.38461538461538464
1954,3,5.2789473684210515,0.15789473684210525
1954,4,5.507692307692308,0.3076923076923077
1954,5,5.60909090909091,0.0
1954,6,6.356249999999999,0.125
1954,7,5.591666666666666,0.3333333333333333
1954,8,6.653846153846154,0.07692307692307693
1954,9,6.561904761904763,0.23809523809523808
1954,10,5.779999999999999,0.3
1954,11,5.776923076923077,0.23076923076923078
1954,12,5.972222222222221,0.3888888888888889
1955,1,6.7565217391304335,0.34782608695652173
1955,2,5.591666666666666,0.16666666666666666
1955,3,5.635714285714286,0.21428571428571427
1955,4,5.5375,0.1875
1955,5,5.28,0.0
1955,6,5.846153846153845,0.23076923076923078
1955,7,5.87,0.15
1955,8,5.5625,0.125
1955,9,5.875000000000001,0.375
1955,10,5.106666666666666,0.2
1955,11,5.572727272727273,0.3181818181818182
1955,12,6.074999999999999,0.4583333333333333
1956,1,5.475,0.25
1956,2,5.953846153846153,0.38461538461538464
1956,3,6.39,0.05
1956,4,6.669230769230769,0.38461538461538464
1956,5,6.356250000000001,0.0
1956,6,5.781249999999999,0.125
1956,7,5.585714285714286,0.21428571428571427
1956,8,6.178947368421052,0.2631578947368421
1956,9,6.138888888888889,0.1111111111111111
1956,10,6.354545454545454,0.2727272727272727
1956,11,5.713333333333333,0.0
1956,12,5.965384615384616,0.46153846153846156
1957,1,5.284210526315789,0.3157894736842105
1957,2,6.414285714285714,0.21428571428571427
1957,3,5.929411764705883,0.058823529411764705
1957,4,6.3,0.2
1957,5,5.3500000000000005,0.16666666666666666
1957,6,5.128571428571428,0.2857142857142857
1957,7,6.078571428571427,0.2857142857142857
1957,8,5.565217391304348,0.17391304347826086
1957,9,5.925,0.0
1957,10,5.678571428571429,0.14285714285714285
1957,11,6.04375,0.25
1957,12,6.0857142857142845,0.35714285714285715
1958,1,5.894736842105263,0.2631578947368421
1958,2,5.84,0.0
1958,3,5.807142857142857,0.0
1958,4,5.95,0.1111111111111111
1958,5,5.973684210526315,0.21052631578947367
1958,6,5.565217391304348,0.13043478260869565
1958,7,5.8055555555555545,0.1111111111111111
1958,8,5.314285714285715,0.07142857142857142
1958,9,6.033333333333333,0.23809523809523808
1958,10,6.131578947368421,0.21052631578947367
1958,11,5.823076923076924,0.38461538461538464
1958,12,6.080952380952381,0.3333333333333333
1959,1,6.404166666666666,0.16666666666666666
1959,2,5.43,0.1
1959,3,6.2375,0.3125
1959,4,5.6000000000000005,0.3333333333333333
1959,5,6.311764705882353,0.058823529411764705
1959,6,5.604166666666668,0.125
1959,7,5.7368421052631575,0.15789473684210525
1959,8,6.6499999999999995,0.42857142857142855
1959,9,5.57,0.4
1959,10,5.391666666666666,0.16666666666666666
1959,11,5.717391304347825,0.17391304347826086
1959,12,6.1499999999999995,0.2857142857142857
1960,1,6.247619047619047,0.3333333333333333
1960,2,6.206666666666666,0.26666666666666666
1960,3,5.934782608695652,0.13043478260869565
1960,4,6.015384615384614,0.3076923076923077
1960,5,6.512499999999999,0.125
1960,6,6.013333333333333,0.13333333333333333
1960,7,6.0600000000000005,0.2
1960,8,5.956521739130435,0.21739130434782608
1960,9,6.172727272727273,0.13636363636363635
1960,10,5.915789473684211,0.2631578947368421
1960,11,5.378947368421052,0.2631578947368421
1960,12,5.533333333333334,0.3333333333333333
1961,1,5.214814814814814,0.2962962962962963
1961,2,5.08,0.3
1961,3,5.757142857142858,0.2857142857142857
1961,4,6.466666666666668,0.16666666666666666
1961,5,6.2210526315789485,0.21052631578947367
1961,6,5.294736842105263,0.3157894736842105
1961,7,6.260000000000001,0.1
1961,8,6.040000000000001,0.3
1961,9,6.230769230769231,0.3076923076923077
1961,10,6.130434782608697,0.13043478260869565
1961,11,6.192857142857143,0.42857142857142855
1961,12,6.1000000000000005,0.3076923076923077
1962,1,5.248148148148148,0.4074074074074074
1962,2,4.884615384615385,0.23076923076923078
1962,3,6.007142857142858,0.14285714285714285
1962,4,6.12,0.25
1962,5,6.172727272727273,0.2727272727272727
1962,6,6.368421052631579,0.3684210526315789
1962,7,6.172727272727273,0.36363636363636365
1962,8,5.0,0.15384615384615385
1962,9,5.633333333333334,0.06666666666666667
1962,10,6.2,0.3157894736842105
1962,11,5.71578947368421,0.3684210526315789
1962,12,5.991666666666667,0.2916666666666667
1963,1,5.537037037037037,0.37037037037037035
1963,2,6.624999999999999,0.3333333333333333
1963,3,5.7875000000000005,0.3125
1963,4,4.814285714285715,0.2857142857142857
1963,5,6.1499999999999995,0.42857142857142855
1963,6,6.377272727272728,0.5
1963,7,7.012499999999999,0.5
1963,8,5.346666666666667,0.13333333333333333
1963,9,5.766666666666666,0.2777777777777778
1963,10,6.4142857142857155,0.3333333333333333
1963,11,6.242105263157894,0.42105263157894735
1963,12,6.189655172413793,0.3103448275862069
1964,1,5.9228571428571435,0.34285714285714286
1964,2,5.776923076923078,0.23076923076923078
1964,3,5.847619047619046,0.38095238095238093
1964,4,6.546666666666667,0.3333333333333333
1964,5,6.730769230769231,0.38461538461538464
1964,6,5.438461538461539,0.3076923076923077
1964,7,6.266666666666667,0.4444444444444444
1964,8,6.26,0.4
1964,9,6.053846153846154,0.23076923076923078
1964,10,6.165384615384616,0.3076923076923077
1964,11,5.611111111111111,0.2777777777777778
1964,12,5.714814814814814,0.37037037037037035
1965,1,5.54074074074074,0.25925925925925924
1965,2,6.04,0.26666666666666666
1965,3,4.038461538461538,0.15384615384615385
1965,4,6.04,0.26666666666666666
1965,5,6.592307692307691,0.23076923076923078
1965,6,5.923076923076922,0.4230769230769231
1965,7,6.376470588235294,0.35294117647058826
1965,8,4.868421052631579,0.21052631578947367
1965,9,5.98125,0.1875
1965,10,6.19642857142857,0.2857142857142857
1965,11,6.5375000000000005,0.1875
1965,12,6.5709677419354815,0.41935483870967744
1966,1,5.853488372093025,0.37209302325581395
1966,2,5.1761904761904765,0.38095238095238093
1966,3,5.51,0.3
1966,4,6.07142857142857,0.2857142857142857
1966,5,5.495238095238095,0.2857142857142857
1966,6,6.108695652173914,0.30434782608695654
1966,7,5.752631578947367,0.3684210526315789
1966,8,5.148,0.12
1966,9,6.113333333333333,0.26666666666666666
1966,10,6.155172413793103,0.3103448275862069
1966,11,5.553846153846154,0.2692307692307692
1966,12,5.865,0.3
1967,1,5.324242424242424,0.15151515151515152
1967,2,5.626315789473684,0.3157894736842105
1967,3,5.858823529411765,0.5
1967,4,5.565217391304348,0.4782608695652174
1967,5,5.109999999999999,0.25
1967,6,5.956521739130435,0.2608695652173913
1967,7,5.475,0.3125
1967,8,5.552941176470588,0.23529411764705882
1967,9,6.338888888888888,0.4444444444444444
1967,10,5.982608695652175,0.17391304347826086
1967,11,6.656249999999999,0.0625
1967,12,5.925714285714287,0.45714285714285713
1968,1,5.6977777777777785,0.24444444444444444
1968,2,5.910000000000001,0.4
1968,3,5.752631578947367,0.15789473684210525
1968,4,5.883333333333333,0.20833333333333334
